,id.bioguide,handle,state,district,type,party,name.last,inc_name,inc_party,inc_ran,inc_won,had_challenger,winner_votes,runnerup_votes,winner_party,runnerup_party,margin
0,A000055,robert_aderholt,AL,4.0,rep,Republican,Aderholt,"Aderholt, Rob",R,1,1,0,235925.0,3519.0,R,write in,0.970606905999
1,A000367,,MI,3.0,rep,Republican,Amash,"Amash, Justin",R,1,1,1,203545.0,128400.0,R,D,0.226377863803
2,B001269,reploubarletta,PA,11.0,rep,Republican,Barletta,"Barletta, Lou",R,1,1,1,199421.0,113800.0,R,D,0.273356511856
3,B000213,repjoebarton,TX,6.0,rep,Republican,Barton,"Barton, Joe",R,1,1,1,159444.0,106667.0,R,D,0.198327013915
4,B001270,repkarenbass,CA,37.0,rep,Democrat,Bass,"Bass, Karen",D,1,1,1,192490.0,44782.0,D,D,0.622526046057
5,B000287,repbecerra,CA,34.0,rep,Democrat,Becerra,"Becerra, Xavier",D,1,1,1,122842.0,36314.0,D,D,0.543667847898
6,B001271,congressmandan,MI,1.0,rep,Republican,Benishek,"Bergman, Jack",R,0,0,0,197777.0,144334.0,R,D,0.156215380388
7,B001257,repgusbilirakis,FL,12.0,rep,Republican,Bilirakis,"Bilirakis, Gus",R,1,1,1,253559.0,116110.0,R,D,0.371816408733
8,B001250,reprobbishop,UT,1.0,rep,Republican,Bishop,"Bishop, Rob",R,1,1,1,182925.0,73380.0,R,D,0.427400948089
9,B000490,sanfordbishop,GA,2.0,rep,Democrat,Bishop,"Bishop, Sanford",D,1,1,1,148543.0,94056.0,D,R,0.22459696866
10,B001273,repdianeblack,TN,6.0,rep,Republican,Black,"Black, Diane",R,1,1,1,202234.0,61995.0,R,D,0.530747949695
11,B001243,marshablackburn,TN,7.0,rep,Republican,Blackburn,"Blackburn, Marsha",R,1,1,1,200407.0,65226.0,R,D,0.50890137897
12,B000574,blumenauermedia,OR,3.0,rep,Democrat,Blumenauer,"Blumenauer, Earl",D,1,1,1,274687.0,78154.0,D,I,0.55700159562
13,B001255,repboustany,LA,3.0,rep,Republican,Boustany,"Higgins, Clay",R,0,0,0,91532.0,84912.0,R,R,0.0375189861939
