,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
174, Jimmy,Panetta,"Panetta, Jimmy",Democratic,Democratic - California,California,CA,both,P000613,CA-20,0,"Panetta, Jimmy",D,0,0,R,"74,811",D,"180,980"
175, Erik,Paulsen,"Paulsen, Erik",Republican,Republican - Minnesota,Minnesota,MN,both,P000594,MN-03,1,"Paulsen, Erik",R,1,1,D,"169,243",R,"223,077"
176, Nancy,Pelosi,"Pelosi, Nancy",Democratic,Democratic - California,California,CA,both,P000197,CA-12,1,"Pelosi, Nancy",D,1,1,I,"64,810",D,"274,035"
177, Ed,Perlmutter,"Perlmutter, Ed",Democratic,Democratic - Colorado,Colorado,CO,both,P000593,CO-07,1,"Perlmutter, Ed",D,1,1,R,"144,066",D,"199,758"
178, Scott,Perry,"Perry, Scott",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,P000605,PA-04,1,"Perry, Scott",R,1,1,D,"113,372",R,"220,628"
179, Chellie,Pingree,"Pingree, Chellie",Democratic,Democratic - Maine,Maine,ME,both,P000597,ME-01,1,"Pingree, Chellie",D,1,1,R,"164,569",D,"227,546"
180, Robert,Pittenger,"Pittenger, Robert",Republican,Republican - North Carolina,North Carolina,NC,both,P000606,NC-09,1,"Pittenger, Robert",R,1,1,D,"139,041",R,"193,452"
181, Mark,Pocan,"Pocan, Mark",Democratic,Democratic - Wisconsin,Wisconsin,WI,both,P000607,WI-02,1,"Pocan, Mark",D,1,1,R,"124,044",D,"273,537"
182, Ted,Poe,"Poe, Ted",Republican,Republican - Texas,Texas,TX,both,P000592,TX-02,1,"Poe, Ted",R,1,1,D,"100,231",R,"168,692"
183, Bruce,Poliquin,"Poliquin, Bruce",Republican,Republican - Maine,Maine,ME,both,P000611,ME-02,1,"Poliquin, Bruce",R,1,1,D,"159,081",R,"192,878"
184, Jared,Polis,"Polis, Jared",Democratic,Democratic - Colorado,Colorado,CO,both,P000598,CO-02,1,"Polis, Jared",D,1,1,R,"170,001",D,"260,175"
185, Mike,Pompeo,"Pompeo, Mike",Republican,Republican - Kansas,Kansas,KS,both,P000602,KS-04,1,"Pompeo, Mike",R,1,1,D,"81,495",R,"166,998"
186, Bill,Posey,"Posey, Bill",Republican,Republican - Florida,Florida,FL,both,P000599,FL-08,1,"Posey, Bill",R,1,1,D,"127,127",R,"246,483"
187, Tom,Price,"Price, Tom",Republican,Republican - Georgia,Georgia,GA,both,P000591,GA-06,1,"Price, Tom",R,1,1,D,"124,917",R,"201,088"
188, Mike,Quigley,"Quigley, Mike",Democratic,Democratic - Illinois,Illinois,IL,both,Q000023,IL-05,1,"Quigley, Mike",D,1,1,R,"86,222",D,"212,842"
189, Jamie,Raskin,"Raskin, Jamie",Democratic,Democratic - Maryland,Maryland,MD,both,R000606,MD-08,0,"Raskin, Jamie",D,0,0,R,"124,651",D,"220,657"
190, John,Ratcliffe,"Ratcliffe, John",Republican,Republican - Texas,Texas,TX,both,R000601,TX-04,1,"Ratcliffe, John",R,1,1,L,"29,577",R,"216,643"
191, Tom,Reed,"Reed, Tom",Republican,Republican - New York,New York,NY,both,R000585,NY-23,1,"Reed, Tom",R,1,1,D,"118,584",R,"161,050"
192, Tom,Rice,"Rice, Tom",Republican,Republican - South Carolina,South Carolina,SC,both,R000597,SC-07,1,"Rice, Tom",R,1,1,D,"112,744",R,"176,468"
193, Martha,Roby,"Roby, Martha",Republican,Republican - Alabama,Alabama,AL,both,R000591,AL-02,1,"Roby, Martha",R,1,1,D,"112,089",R,"134,886"
194, Dana,Rohrabacher,"Rohrabacher, Dana",Republican,Republican - California,California,CA,both,R000409,CA-48,1,"Rohrabacher, Dana",R,1,1,D,"127,715",R,"178,701"
195, Todd,Rokita,"Rokita, Todd",Republican,Republican - Indiana,Indiana,IN,both,R000592,IN-04,1,"Rokita, Todd",R,1,1,D,"91,256",R,"193,412"
196, Francis,Rooney,"Rooney, Francis",Republican,Republican - Florida,Florida,FL,both,R000607,FL-19,0,"Rooney, Francis",R,0,0,D,"123,812",R,"239,225"
197, Ileana,Ros-Lehtinen,"Ros-Lehtinen, Ileana",Republican,Republican - Florida,Florida,FL,both,R000435,FL-27,1,"Ros-Lehtinen, Ileana",R,1,1,D,"129,760",R,"157,917"
198, Jacky,Rosen,"Rosen, Jacky",Democratic,Democratic - Nevada,Nevada,NV,both,R000608,NV-03,1,"Rosen, Jacky",D,1,1,R,"142,926",D,"146,869"
199, David,Rouzer,"Rouzer, David",Republican,Republican - North Carolina,North Carolina,NC,both,R000603,NC-07,1,"Rouzer, David",R,1,1,D,"135,905",R,"211,801"
200, Lucille,Roybal-Allard,"Roybal-Allard, Lucille",Democratic,Democratic - California,California,CA,both,R000486,CA-40,1,"Roybal-Allard, Lucille",D,1,1,I,"24,743",D,"106,554"
201, Raul,Ruiz,"Ruiz, Raul",Democratic,Democratic - California,California,CA,both,R000599,CA-36,1,"Ruiz, Raul",D,1,1,R,"88,269",D,"144,348"
202, Steve,Russell,"Russell, Steve",Republican,Republican - Oklahoma,Oklahoma,OK,both,R000604,OK-05,1,"Russell, Steve",R,1,1,D,"103,273",R,"160,184"
203, Tim,Ryan,"Ryan, Tim",Democratic,Democratic - Ohio,Ohio,OH,both,R000577,OH-13,1,"Ryan, Tim",D,1,1,R,"99,377",D,"208,610"
204, Mark,Sanford,"Sanford, Mark",Republican,Republican - South Carolina,South Carolina,SC,both,S000051,SC-01,1,"Sanford, Mark",R,1,1,D,"119,799",R,"190,410"
205, Steve,Scalise,"Scalise, Steve",Republican,Republican - Louisiana,Louisiana,LA,both,S001176,LA-01,1,"Scalise, Steve",R,1,1,D,"41,840",R,"243,645"
206, Kurt,Schrader,"Schrader, Kurt",Democratic,Democratic - Oregon,Oregon,OR,both,S001180,OR-05,1,"Schrader, Kurt",D,1,1,R,"160,443",D,"199,505"
207, David,Schweikert,"Schweikert, David",Republican,Republican - Arizona,Arizona,AZ,both,S001183,AZ-06,1,"Schweikert, David",R,1,1,D,"122,866",R,"201,578"
208, Austin,Scott,"Scott, Austin",Republican,Republican - Georgia,Georgia,GA,both,S001189,GA-08,1,"Scott, Austin",R,1,1,D,"83,225",R,"173,983"
209, David,Scott,"Scott, David",Democratic,Democratic - Georgia,Georgia,GA,both,S001157,GA-13,1,"Scott, David",D,1,1,NONE,0,D,"252,833"
210, Pete,Sessions,"Sessions, Pete",Republican,Republican - Texas,Texas,TX,both,S000250,TX-32,1,"Sessions, Pete",R,1,1,L,"43,490",R,"162,868"
211, Carol,Shea-Porter,"Shea-Porter, Carol",Democratic,Democratic - New Hampshire,New Hampshire,NH,both,S001170,NH-01,0,"Shea-Porter, Carol",R,0,0,R,"157,176",D,"162,080"
212, Brad,Sherman,"Sherman, Brad",Democratic,Democratic - California,California,CA,both,S000344,CA-30,1,"Sherman, Brad",D,1,1,R,"77,325",D,"205,279"
213, John,Shimkus,"Shimkus, John",Republican,Republican - Illinois,Illinois,IL,both,S000364,IL-15,0,"Shimkus, John",R,1,1,NONE,0,R,"274,554"
214, Kyrsten,Sinema,"Sinema, Kyrsten",Democratic,Democratic - Arizona,Arizona,AZ,both,S001191,AZ-09,1,"Sinema, Kyrsten",D,1,1,R,"108,350",D,"169,055"
215, Albio,Sires,"Sires, Albio",Democratic,Democratic - New Jersey,New Jersey,NJ,both,S001165,NJ-08,1,"Sires, Albio",D,1,1,R,"32,337",D,"134,733"
216, Adam,Smith,"Smith, Adam",Democratic,Democratic - Washington,Washington,WA,both,S000510,WA-09,1,"Smith, Adam",D,1,1,R,"76,317",D,"205,165"
217, Adrian,Smith,"Smith, Adrian",Republican,Republican - Nebraska,Nebraska,NE,both,S001172,NE-03,1,"Smith, Adrian",R,1,1,NONE,0,R,"226,720"
218, Jason,Smith,"Smith, Jason",Republican,Republican - Missouri,Missouri,MO,both,S001195,MO-08,1,"Smith, Jason",R,1,1,D,"70,009",R,"229,792"
219, Lamar,Smith,"Smith, Lamar",Republican,Republican - Texas,Texas,TX,both,S000583,TX-21,1,"Smith, Lamar",R,1,1,D,"129,765",R,"202,967"
220, Lloyd,Smucker,"Smucker, Lloyd",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,S001199,PA-16,1,"Smucker, Lloyd",R,1,1,D,"134,586",R,"168,669"
221, Darren,Soto,"Soto, Darren",Democratic,Democratic - Florida,Florida,FL,both,S001200,FL-09,0,"Soto, Darren",D,0,0,R,"144,450",D,"195,311"
222, Jackie,Speier,"Speier, Jackie",Democratic,Democratic - California,California,CA,both,S001175,CA-14,1,"Speier, Jackie",D,1,1,R,"54,817",D,"231,630"
223, Chris,Stewart,"Stewart, Chris",Republican,Republican - Utah,Utah,UT,both,S001192,UT-02,1,"Stewart, Chris",R,1,1,D,"93,778",R,"170,524"
224, Steve,Stivers,"Stivers, Steve",Republican,Republican - Ohio,Ohio,OH,both,S001187,OH-15,1,"Stivers, Steve",R,1,1,D,"113,960",R,"222,847"
225, Eric,Swalwell,"Swalwell, Eric",Democratic,Democratic - California,California,CA,both,S001193,CA-15,1,"Swalwell, Eric",D,1,1,R,"70,619",D,"198,578"
226, Mark,Takano,"Takano, Mark",Democratic,Democratic - California,California,CA,both,T000472,CA-41,1,"Takano, Mark",D,1,1,R,"69,159",D,"128,164"
227, Scott,Taylor,"Taylor, Scott",Republican,Republican - Virginia,Virginia,VA,both,T000477,VA-02,1,"Taylor, Scott",R,1,1,D,"119,440",R,"190,475"
228, Claudia,Tenney,"Tenney, Claudia",Republican,Republican - New York,New York,NY,both,T000478,NY-22,0,"Tenney, Claudia",R,0,0,D,"114,266",R,"129,444"
229, Glenn,Thompson,"Thompson, Glenn",Republican,Republican - Pennsylvania,Pennsylvania,PA,both,T000467,PA-05,1,"Thompson, Glenn",R,1,1,D,"101,082",R,"206,761"
230, Mike,Thompson,"Thompson, Mike",Democratic,Democratic - California,California,CA,both,T000460,CA-05,1,"Thompson, Mike",D,1,1,R,"67,565",D,"224,526"
231, Mac,Thornberry,"Thornberry, Mac",Republican,Republican - Texas,Texas,TX,both,T000238,TX-13,1,"Thornberry, Mac",R,1,1,L,"14,725",R,"199,050"
232, Dina,Titus,"Titus, Dina",Democratic,Democratic - Nevada,Nevada,NV,both,T000468,NV-01,1,"Titus, Dina",D,1,1,R,"54,174",D,"116,537"
233, Paul,Tonko,"Tonko, Paul",Democratic,Democratic - New York,New York,NY,both,T000469,NY-20,1,"Tonko, Paul",D,1,1,R,"100,738",D,"213,021"
234, Niki,Tsongas,"Tsongas, Niki",Democratic,Democratic - Massachusetts,Massachusetts,MA,both,T000465,MA-03,1,"Tsongas, Niki",D,1,1,R,"107,519",D,"236,713"
235, Fred,Upton,"Upton, Fred",Republican,Republican - Michigan,Michigan,MI,both,U000031,MI-06,1,"Upton, Fred",R,1,1,D,"119,980",R,"193,259"
236, Juan,Vargas,"Vargas, Juan",Democratic,Democratic - California,California,CA,both,V000130,CA-51,1,"Vargas, Juan",D,1,1,R,"54,362",D,"145,162"
237, Filemon,Vela,"Vela, Filemon",Democratic,Democratic - Texas,Texas,TX,both,V000132,TX-34,1,"Vela, Filemon",D,1,1,R,"62,323",D,"104,638"
238, Ann,Wagner,"Wagner, Ann",Republican,Republican - Missouri,Missouri,MO,both,W000812,MO-02,1,"Wagner, Ann",R,1,1,D,"155,689",R,"241,954"
239, Tim,Walberg,"Walberg, Tim",Republican,Republican - Michigan,Michigan,MI,both,W000798,MI-07,1,"Walberg, Tim",R,1,1,D,"134,010",R,"184,321"
240, Greg,Walden,"Walden, Greg",Republican,Republican - Oregon,Oregon,OR,both,W000791,OR-02,1,"Walden, Greg",R,1,1,D,"106,640",R,"272,952"
241, Mark,Walker,"Walker, Mark",Republican,Republican - North Carolina,North Carolina,NC,both,W000819,NC-06,1,"Walker, Mark",R,1,1,D,"143,167",R,"207,983"
242, Jackie,Walorski,"Walorski, Jackie",Republican,Republican - Indiana,Indiana,IN,both,W000813,IN-02,1,"Walorski, Jackie",R,1,1,D,"102,401",R,"164,355"
243, Mimi,Walters,"Walters, Mimi",Republican,Republican - California,California,CA,both,W000820,CA-45,1,"Walters, Mimi",R,1,1,D,"129,231",R,"182,618"
244, Debbie,Wasserman Schultz,"Wasserman Schultz, Debbie",Democratic,Democratic - Florida,Florida,FL,both,W000797,FL-23,1,"Wasserman Schultz, Debbie",D,1,1,R,"130,818",D,"183,225"
245, Maxine,Waters,"Waters, Maxine",Democratic,Democratic - California,California,CA,both,W000187,CA-43,1,"Waters, Maxine",D,1,1,R,"52,499",D,"167,017"
246, Bonnie,Watson Coleman,"Watson Coleman, Bonnie",Democratic,Democratic - New Jersey,New Jersey,NJ,both,W000822,NJ-12,1,"Watson Coleman, Bonnie",D,1,1,R,"92,407",D,"181,430"
247, Peter,Welch,"Welch, Peter",Democratic,Democratic - Vermont,Vermont,VT,both,W000800,VT-AL,1,"Welch, Peter",D,1,1,LU,"29,410",D,"264,414"
248, Bruce,Westerman,"Westerman, Bruce",Republican,Republican - Arkansas,Arkansas,AR,both,W000821,AR-04,1,"Westerman, Bruce",R,1,1,L,"61,274",R,"182,885"
249, Roger,Williams,"Williams, Roger",Republican,Republican - Texas,Texas,TX,both,W000816,TX-25,1,"Williams, Roger",R,1,1,D,"117,073",R,"180,988"
250, Joe,Wilson,"Wilson, Joe",Republican,Republican - South Carolina,South Carolina,SC,both,W000795,SC-02,1,"Wilson, Joe",R,1,1,D,"109,452",R,"183,746"
251, Steve,Womack,"Womack, Steve",Republican,Republican - Arkansas,Arkansas,AR,both,W000809,AR-03,1,"Womack, Steve",R,1,1,L,"63,715",R,"217,192"
252, Rob,Woodall,"Woodall, Rob",Republican,Republican - Georgia,Georgia,GA,both,W000810,GA-07,1,"Woodall, Rob",R,1,1,D,"114,220",R,"174,081"
253, Kevin,Yoder,"Yoder, Kevin",Republican,Republican - Kansas,Kansas,KS,both,Y000063,KS-03,1,"Yoder, Kevin",R,1,1,D,"139,300",R,"176,022"
254, David,Young,"Young, David",Republican,Republican - Iowa,Iowa,IA,both,Y000066,IA-03,1,"Young, David",R,1,1,D,"155,002",R,"208,598"
255, Don,Young,"Young, Don",Republican,Republican - Alaska,Alaska,AK,both,Y000033,AK-AL,1,"Young, Don",R,1,1,D,"111,019",R,"155,088"
256,,,,,,,,right_only,,AL-03,1,"Rogers, Mike",R,1,1,D,"94,549",R,"192,164"
257,,,,,,,,right_only,,AL-04,0,"Aderholt, Rob",R,1,1,write in,"3,519",R,"235,925"
258,,,,,,,,right_only,,AL-06,1,"Palmer, Gary",R,1,1,D,"83,709",R,"245,313"
259,,,,,,,,right_only,,AL-07,0,"Sewell, Terri",D,1,1,write in,"3,698",D,"229,330"
260,,,,,,,,right_only,,AR-01,1,"Crawford, Rick",R,1,1,L,"57,181",R,"183,866"
261,,,,,,,,right_only,,AR-02,1,"Hill, French",R,1,1,D,"111,347",R,"176,472"
262,,,,,,,,right_only,,AZ-03,0,"Grijalva, Raul",D,1,1,write in,"2,062",D,"148,973"
263,,,,,,,,right_only,,AZ-04,1,"Gosar, Paul",R,1,1,D,"81,296",R,"203,487"
264,,,,,,,,right_only,,CA-06,1,"Matsui, Doris",D,1,1,R,"57,848",D,"177,565"
265,,,,,,,,right_only,,CA-18,1,"Eshoo, Anna",D,1,1,R,"93,470",D,"230,460"
266,,,,,,,,right_only,,CA-21,1,"Valadao, David",R,1,1,D,"57,282",R,"75,126"
267,,,,,,,,right_only,,CA-24,0,"Carbajal, Salud",D,0,0,D,"144,780",D,"166,034"
268,,,,,,,,right_only,,CA-25,1,"Knight, Steve",R,1,1,D,"122,406",R,"138,755"
269,,,,,,,,right_only,,CA-28,1,"Schiff, Adam",D,1,1,R,"59,526",D,"210,883"
270,,,,,,,,right_only,,CA-32,1,"Napolitano, Grace",D,1,1,D,"71,720",D,"114,926"
271,,,,,,,,right_only,,CA-35,1,"Torres, Norma",D,1,1,R,"47,309",D,"124,044"
272,,,,,,,,right_only,,CA-38,1,"Sanchez, Linda",D,1,1,R,"68,524",D,"163,590"
273,,,,,,,,right_only,,CA-39,1,"Royce, Ed",R,1,1,D,"112,679",R,"150,777"
274,,,,,,,,right_only,,CA-44,1,"Barragan, Nanette",D,1,1,D,"85,289",D,"93,124"
275,,,,,,,,right_only,,CA-46,0,"Correa, Lou",D,0,0,D,"49,345",D,"115,248"
276,,,,,,,,right_only,,CA-47,1,"Lowenthal, Alan",D,1,1,R,"88,109",D,"154,759"
277,,,,,,,,right_only,,CA-49,1,"Issa, Darrell",R,1,1,R,"154,267",R,"155,888"
278,,,,,,,,right_only,,CA-52,1,"Peters, Scott",D,1,1,R,"139,403",D,"181,253"
279,,,,,,,,right_only,,CA-53,1,"Davis, Susan",D,1,1,R,"97,968",D,"198,988"
280,,,,,,,,right_only,,CO-03,1,"Tipton, Scott",R,1,1,D,"150,914",R,"204,220"
281,,,,,,,,right_only,,CT-01,1,"Larson, John",D,1,1,R,"105,674",D,"200,686"
282,,,,,,,,right_only,,CT-03,1,"DeLauro, Rosa",D,1,1,R,"95,786",D,"213,572"
283,,,,,,,,right_only,,CT-04,1,"Himes, Jim",D,1,1,R,"125,724",D,"187,811"
284,,,,,,,,right_only,,CT-05,1,"Esty, Elizabeth",D,1,1,R,"129,801",D,"179,252"
285,,,,,,,,right_only,,FL-02,0,"Dunn, Neal",D,0,0,D,"102,801",R,"231,163"
286,,,,,,,,right_only,,FL-03,1,"Yoho, Ted",R,1,1,D,"136,338",R,"193,843"
287,,,,,,,,right_only,,FL-04,1,"Rutherford, John",R,1,1,D,"113,088",R,"287,509"
288,,,,,,,,right_only,,FL-05,1,"Lawson, Al",D,1,1,R,"108,325",D,"194,549"
289,,,,,,,,right_only,,FL-07,1,"Murphy, Stephanie",D,1,1,R,"171,583",D,"182,039"
290,,,,,,,,right_only,,FL-10,0,"Demings, Val",R,0,0,R,"107,498",D,"198,491"
291,,,,,,,,right_only,,FL-11,1,"Webster, Dan",R,1,1,D,"124,713",R,"258,016"
292,,,,,,,,right_only,,FL-12,1,"Bilirakis, Gus",R,1,1,D,"116,110",R,"253,559"
293,,,,,,,,right_only,,FL-15,1,"Ross, Dennis",R,1,1,D,"135,475",R,"182,999"
294,,,,,,,,right_only,,FL-17,1,"Rooney, Tom",R,1,1,D,"115,974",R,"209,348"
295,,,,,,,,right_only,,FL-18,1,"Mast, Brian",R,1,1,D,"161,918",R,"201,488"
296,,,,,,,,right_only,,FL-20,1,"Hastings, Alcee",D,1,1,R,"54,646",D,"222,914"
297,,,,,,,,right_only,,FL-22,1,"Deutch, Ted",D,1,1,R,"138,737",D,"199,113"
298,,,,,,,,right_only,,FL-24,0,"Wilson, Frederica",D,1,1,,,D,
299,,,,,,,,right_only,,GA-01,1,"Carter, Buddy",R,1,1,NONE,0,R,"210,243"
300,,,,,,,,right_only,,GA-02,1,"Bishop, Sanford",D,1,1,R,"94,056",D,"148,543"
301,,,,,,,,right_only,,GA-03,1,"Ferguson, Drew",R,1,1,D,"95,969",R,"207,218"
302,,,,,,,,right_only,,GA-04,1,"Johnson, Hank",D,1,1,R,"70,593",D,"220,146"
303,,,,,,,,right_only,,GA-10,0,"Hice, Jodi",R,1,1,NONE,0,R,"243,725"
304,,,,,,,,right_only,,GA-12,1,"Allen, Rick",R,1,1,D,"99,420",R,"159,492"
305,,,,,,,,right_only,,ID-01,1,"Labrador, Raul",R,1,1,D,"113,052",R,"242,252"
306,,,,,,,,right_only,,ID-02,1,"Simpson, Mike",R,1,1,D,"95,940",R,"205,292"
307,,,,,,,,right_only,,IL-01,1,"Rush, Bobby",D,1,1,R,"81,817",D,"234,037"
308,,,,,,,,right_only,,IL-02,1,"Kelly, Robin",D,1,1,R,"59,471",D,"235,051"
309,,,,,,,,right_only,,IL-03,0,"Lipinski, Dan",D,1,1,write in,91,D,"225,320"
310,,,,,,,,right_only,,IL-04,0,"Gutierrez, Luis",D,1,1,NONE,0,D,"171,297"
311,,,,,,,,right_only,,IL-06,1,"Roskam, Peter",R,1,1,D,"143,591",R,"208,555"
312,,,,,,,,right_only,,IL-07,1,"Davis, Danny",D,1,1,R,"46,882",D,"250,584"
313,,,,,,,,right_only,,IL-09,1,"Schakowsky, Jan",D,1,1,R,"109,550",D,"217,306"
314,,,,,,,,right_only,,IL-10,1,"Schneider, Brad",R,1,0,R,"135,535",D,"150,435"
315,,,,,,,,right_only,,IN-01,1,"Visclosky, Pete",D,1,1,L,"47,051",D,"207,515"
316,,,,,,,,right_only,,IN-05,1,"Brooks, Susan",R,1,1,D,"123,849",R,"221,957"
317,,,,,,,,right_only,,KS-01,0,"Marshall, Roger",R,0,0,I,"67,739",R,"169,992"
318,,,,,,,,right_only,,KY-03,1,"Yarmuth, John",D,1,1,R,"122,093",D,"212,401"
319,,,,,,,,right_only,,KY-05,0,"Rogers, Hal",R,1,1,NONE,0,R,"221,242"
320,,,,,,,,right_only,,LA-02,1,"Richmond, Cedric",D,1,1,D,"57,125",D,"198,289"
321,,,,,,,,right_only,,LA-05,1,"Abraham, Ralph",R,1,1,R,"47,117",R,"208,545"
322,,,,,,,,right_only,,MA-01,1,"Neal, Richard",D,1,1,I,"57,504",D,"235,803"
323,,,,,,,,right_only,,MA-02,1,"McGovern, Jim",D,1,1,write in,"4,924",D,"275,487"
324,,,,,,,,right_only,,MA-04,1,"Kennedy, Joe",D,1,1,R,"113,055",D,"265,823"
325,,,,,,,,right_only,,MA-05,1,"Clark, Katherine",D,1,1,Write in,"4,201",D,"285,606"
326,,,,,,,,right_only,,MA-07,1,"Capuano, Mike",D,1,1,Write in,"3,557",D,"253,354"
327,,,,,,,,right_only,,MA-08,1,"Lynch, Stephen",D,1,1,R,"102,744",D,"271,019"
328,,,,,,,,right_only,,MA-09,1,"Keating, Bill",D,1,1,R,"127,803",D,"211,790"
329,,,,,,,,right_only,,MD-02,1,"Ruppersberger, Dutch",D,1,1,R,"102,577",D,"192,183"
330,,,,,,,,right_only,,MD-03,1,"Sarbanes, John",D,1,1,R,"115,048",D,"214,640"
331,,,,,,,,right_only,,MD-04,0,"Brown, Anthony",D,0,0,R,"68,670",D,"237,501"
332,,,,,,,,right_only,,MD-05,1,"Hoyer, Steny",D,1,1,R,"105,931",D,"242,989"
333,,,,,,,,right_only,,MD-06,1,"Delaney, John",D,1,1,R,"133,081",D,"185,770"
334,,,,,,,,right_only,,MD-07,1,"Cummings, Elijah",D,1,1,R,"69,556",D,"238,838"
335,,,,,,,,right_only,,MI-04,1,"Moolenaar, John",R,1,1,D,"101,277",R,"194,572"
336,,,,,,,,right_only,,MI-05,1,"Kildee, Dan",D,1,1,R,"112,102",D,"195,279"
337,,,,,,,,right_only,,MI-09,1,"Levin, Sander",D,1,1,R,"128,937",D,"199,661"
338,,,,,,,,right_only,,MI-11,1,"Trott, Dave",R,1,1,D,"152,461",R,"200,872"
339,,,,,,,,right_only,,MI-13,1,"Conyers, John",D,1,1,R,"40,541",D,"198,771"
340,,,,,,,,right_only,,MI-14,1,"Lawrence, Brenda",D,1,1,R,"58,103",D,"244,135"
341,,,,,,,,right_only,,MN-01,1,"Walz, Tim",D,1,1,R,"166,526",D,"169,074"
342,,,,,,,,right_only,,MN-07,1,"Peterson, Collin",D,1,1,R,"156,952",D,"173,589"
343,,,,,,,,right_only,,MN-08,1,"Nolan, Rick",D,1,1,R,"177,089",D,"179,098"
344,,,,,,,,right_only,,MO-01,1,"Clay, Lacy",D,1,1,R,"62,714",D,"236,993"
345,,,,,,,,right_only,,MO-04,1,"Hartzler, Vicki",R,1,1,D,"92,510",R,"225,348"
346,,,,,,,,right_only,,MS-02,1,"Thompson, Bennie",D,1,1,R,"83,542",D,"192,343"
347,,,,,,,,right_only,,MS-04,1,"Palazzo, Steven",R,1,1,D,"77,505",R,"181,323"
348,,,,,,,,right_only,,MT-AL,1,"Zinke, Ryan",R,1,1,D,"205,919",R,"285,358"
349,,,,,,,,right_only,,NC-01,1,"Butterfield, G.K.",D,1,1,R,"101,567",D,"240,661"
350,,,,,,,,right_only,,NC-03,1,"Jones, Walter",R,1,1,D,"106,170",R,"217,531"
351,,,,,,,,right_only,,NC-04,1,"Price, David",D,1,1,R,"130,161",D,"279,380"
352,,,,,,,,right_only,,NC-10,1,"McHenry, Patrick",R,1,1,D,"128,919",R,"220,825"
353,,,,,,,,right_only,,NC-12,1,"Adams, Alma",D,1,1,R,"115,185",D,"234,115"
354,,,,,,,,right_only,,NH-02,1,"Kuster, Annie",D,1,1,,"158,825",D,"174,371"
355,,,,,,,,right_only,,NJ-02,1,"LoBiondo, Frank",R,1,1,D,"110,838",R,"176,338"
356,,,,,,,,right_only,,NJ-03,1,"MacArthur, Tom",R,1,1,D,"127,526",R,"194,596"
357,,,,,,,,right_only,,NJ-04,1,"Smith, Chris",R,1,1,D,"111,532",R,"211,992"
358,,,,,,,,right_only,,NJ-06,1,"Pallone, Frank",D,1,1,R,"91,908",D,"167,895"
359,,,,,,,,right_only,,NJ-09,1,"Pascrell, Bill",D,1,1,R,"65,376",D,"162,642"
360,,,,,,,,right_only,,NJ-10,1,"Payne, Donald",D,1,1,R,"26,450",D,"190,856"
361,,,,,,,,right_only,,NJ-11,1,"Frelinghuysen, Rodney",D,1,1,R,"130,162",D,"194,299"
362,,,,,,,,right_only,,NM-02,1,"Pearce, Steve",R,1,1,D,"85,232",R,"143,514"
363,,,,,,,,right_only,,NM-03,1,"Lujan, Ben",D,1,1,R,"102,730",D,"170,612"
364,,,,,,,,right_only,,NV-02,1,"Amodei, Mark",R,1,1,D,"115,722",R,"182,676"
365,,,,,,,,right_only,,NV-04,1,"Kihuen, Ruben",D,1,1,R,"118,328",D,"128,985"
366,,,,,,,,right_only,,NY-01,1,"Zeldin, Lee",R,1,1,D,"135,278",R,"188,499"
367,,,,,,,,right_only,,NY-02,1,"King, Peter",R,1,1,D,"110,938",R,"181,506"
368,,,,,,,,right_only,,NY-03,1,"Suozzi, Tom",D,1,1,R,"152,304",D,"171,775"
369,,,,,,,,right_only,,NY-04,1,"Rice, Kathleen",D,1,1,R,"126,438",D,"186,423"
370,,,,,,,,right_only,,NY-05,1,"Meeks, Gregory",D,1,1,R,"30,312",D,"199,815"
371,,,,,,,,right_only,,NY-07,1,"Velazquez, Nydia",D,1,1,R,"17,478",D,"172,146"
372,,,,,,,,right_only,,NY-08,1,"Jeffries, Hakeem",D,1,1,C,"15,401",D,"214,595"
373,,,,,,,,right_only,,NY-09,1,"Clarke, Yvette",D,1,1,C,"17,576",D,"214,189"
374,,,,,,,,right_only,,NY-11,1,"Donovan, Dan",R,1,1,D,"85,257",R,"142,934"
375,,,,,,,,right_only,,NY-12,1,"Maloney, Carolyn",D,1,1,R,"49,398",D,"244,358"
376,,,,,,,,right_only,,NY-14,1,"Crowley, Joe",D,1,1,R,"30,545",D,"147,587"
377,,,,,,,,right_only,,NY-15,1,"Serrano, Jose",D,1,1,R,"6,129",D,"165,688"
378,,,,,,,,right_only,,NY-16,1,"Engel, Eliot",D,1,1,PC,"11,825",D,"209,857"
379,,,,,,,,right_only,,NY-17,0,"Lowey, Nita",D,1,1,NONE,0,D,"214,530"
380,,,,,,,,right_only,,NY-18,1,"Maloney, Sean",D,1,1,R,"129,369",D,"162,060"
381,,,,,,,,right_only,,NY-19,0,"Faso, John",R,0,0,D,"141,224",R,"166,171"
382,,,,,,,,right_only,,NY-21,1,"Stefanik, Elise",R,1,1,D,"82,161",R,"177,886"
383,,,,,,,,right_only,,NY-25,1,"Slaughter, Louise",D,1,1,R,"142,650",D,"182,950"
384,,,,,,,,right_only,,OH-02,1,"Wenstrup, Brad",R,1,1,D,"111,694",R,"221,193"
