,_merge,id.bioguide,handle,name.official_full,bio.gender,terms,week1,week2,week3,week4,week5,week6,week7,week8,week9
0,both,B000944,sensherrodbrown,Sherrod Brown,M,"[{u'end': u'1995-01-03', u'district': 13, u'start': u'1993-01-05', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1997-01-03', u'district': 13, u'start': u'1995-01-04', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1999-01-03', u'district': 13, u'start': u'1997-01-07', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2001-01-03', u'district': 13, u'start': u'1999-01-06', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 13, u'start': u'2001-01-03', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 13, u'url': u'http://www.house.gov/sherrodbrown', u'start': u'2003-01-07', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 13, u'url': u'http://www.house.gov/sherrodbrown', u'start': u'2005-01-04', u'state': u'OH', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-228-6321', u'end': u'2013-01-03', u'office': u'713 Hart Senate Office Building', u'phone': u'202-224-2315', u'url': u'http://brown.senate.gov/', u'contact_form': u'http://www.brown.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'OH', u'address': u'713 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.brown.senate.gov/rss/feeds/?type=all&amp;', u'fax': u'202-228-6321', u'end': u'2019-01-03', u'office': u'713 Hart Senate Office Building', u'phone': u'202-224-2315', u'url': u'http://www.brown.senate.gov', u'state_rank': u'senior', u'contact_form': u'http://www.brown.senate.gov/contact', u'start': u'2013-01-03', u'state': u'OH', u'address': u'713 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-0.873145,-1.14148,-1.825096,-21.3501,-0.467001233333,0.422609,-16.6126786667,0.359652866667,-0.367748433333
1,both,C000127,senatorcantwell,Maria Cantwell,F,"[{u'end': u'1995-01-03', u'district': 1, u'start': u'1993-01-05', u'state': u'WA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'url': u'http://cantwell.senate.gov', u'start': u'2001-01-03', u'state': u'WA', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'fax': u'202-228-0514', u'end': u'2013-01-03', u'office': u'311 Hart Senate Office Building', u'phone': u'202-224-3441', u'url': u'http://cantwell.senate.gov', u'contact_form': u'http://www.cantwell.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'WA', u'address': u'311 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.cantwell.senate.gov/public/index.cfm/rss/feed', u'fax': u'202-228-0514', u'end': u'2019-01-03', u'office': u'511 Hart Senate Office Building', u'phone': u'202-224-3441', u'url': u'https://www.cantwell.senate.gov', u'state_rank': u'junior', u'contact_form': u'http://www.cantwell.senate.gov/public/index.cfm/email-maria', u'start': u'2013-01-03', u'state': u'WA', u'address': u'511 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-42.5723183333,-8.84589666667,-3.72993766667,-21.85432,-10.628532,-18.030278,-17.871626,-9.65519666667,-17.863474
2,both,C000141,senatorcardin,Benjamin L. Cardin,M,"[{u'end': u'1989-01-03', u'district': 3, u'start': u'1987-01-06', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1991-01-03', u'district': 3, u'start': u'1989-01-03', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1993-01-03', u'district': 3, u'start': u'1991-01-03', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1995-01-03', u'district': 3, u'start': u'1993-01-05', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1997-01-03', u'district': 3, u'start': u'1995-01-04', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1999-01-03', u'district': 3, u'start': u'1997-01-07', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2001-01-03', u'district': 3, u'start': u'1999-01-06', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 3, u'start': u'2001-01-03', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 3, u'url': u'http://www.house.gov/cardin', u'start': u'2003-01-07', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 3, u'url': u'http://www.house.gov/cardin', u'start': u'2005-01-04', u'state': u'MD', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-224-1651', u'end': u'2013-01-03', u'office': u'509 Hart Senate Office Building', u'phone': u'202-224-4524', u'url': u'http://cardin.senate.gov/', u'contact_form': u'http://www.cardin.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'MD', u'address': u'509 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.cardin.senate.gov/rss/feeds/?type=all', u'fax': u'202-224-1651', u'end': u'2019-01-03', u'office': u'509 Hart Senate Office Building', u'phone': u'202-224-4524', u'url': u'https://www.cardin.senate.gov', u'state_rank': u'junior', u'contact_form': u'http://www.cardin.senate.gov/contact/', u'start': u'2013-01-03', u'state': u'MD', u'address': u'509 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-8.692816,-4.9341826,-5.24167616667,-15.389205,-1.36532275,-8.17189833333,-9.316775,-5.43802285714,-9.632692
3,both,C000174,senatorcarper,Thomas R. Carper,M,"[{u'end': u'1985-01-03', u'district': 0, u'start': u'1983-01-03', u'state': u'DE', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1987-01-03', u'district': 0, u'start': u'1985-01-03', u'state': u'DE', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1989-01-03', u'district': 0, u'start': u'1987-01-06', u'state': u'DE', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1991-01-03', u'district': 0, u'start': u'1989-01-03', u'state': u'DE', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1993-01-03', u'district': 0, u'start': u'1991-01-03', u'state': u'DE', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'url': u'http://carper.senate.gov', u'start': u'2001-01-03', u'state': u'DE', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'fax': u'202-228-2190', u'end': u'2013-01-03', u'office': u'513 Hart Senate Office Building', u'phone': u'202-224-2441', u'url': u'http://carper.senate.gov', u'contact_form': u'http://www.carper.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'DE', u'address': u'513 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.carper.senate.gov/public/index.cfm/rss/feed', u'fax': u'202-228-2190', u'end': u'2019-01-03', u'office': u'513 Hart Senate Office Building', u'phone': u'202-224-2441', u'url': u'http://www.carper.senate.gov/public', u'state_rank': u'senior', u'contact_form': u'http://www.carper.senate.gov/public/index.cfm/email-senator-carper', u'start': u'2013-01-03', u'state': u'DE', u'address': u'513 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-38.9363833333,0.15367,-4.047725,-10.2278933333,-11.68786775,0.652402,-2.6037215,-1.83032,-2.4599655
4,both,C001070,senbobcasey,"Robert P. Casey, Jr.",M,"[{u'fax': u'202-228-0604', u'end': u'2013-01-03', u'office': u'393 Russell Senate Office Building', u'phone': u'202-224-6324', u'url': u'http://casey.senate.gov/', u'contact_form': u'http://www.casey.senate.gov/contact/', u'start': u'2007-01-04', u'state': u'PA', u'address': u'393 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.casey.senate.gov/rss/feeds/?all', u'fax': u'202-228-0604', u'end': u'2019-01-03', u'office': u'393 Russell Senate Office Building', u'phone': u'202-224-6324', u'url': u'https://www.casey.senate.gov', u'state_rank': u'senior', u'contact_form': u'http://www.casey.senate.gov/contact/', u'start': u'2013-01-03', u'state': u'PA', u'address': u'393 Russell Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-19.9975066667,-4.65819,-1.2729415,-21.91895,-1.9442275,-3.82338666667,-12.6738597317,-7.01999,-36.6565
5,both,C001071,senbobcorker,Bob Corker,M,"[{u'fax': u'202-228-0566', u'end': u'2013-01-03', u'office': u'185 Dirksen Senate Office Building', u'phone': u'202-224-3344', u'url': u'http://corker.senate.gov/', u'contact_form': u'http://www.corker.senate.gov/public/index.cfm?p=ContactMe', u'start': u'2007-01-04', u'state': u'TN', u'address': u'185 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.corker.senate.gov/public/index.cfm/rss/feed', u'fax': u'202-228-0566', u'end': u'2019-01-03', u'office': u'425 Dirksen Senate Office Building', u'phone': u'202-224-3344', u'url': u'http://www.corker.senate.gov', u'state_rank': u'junior', u'contact_form': u'http://www.corker.senate.gov/public/index.cfm/emailme', u'start': u'2013-01-03', u'state': u'TN', u'address': u'425 Dirksen Senate Office Building Washington DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 1}]",2.0968525,5.91175333333,2.7646356,4.465404,,1.81967,,1.74826,
6,both,F000062,senfeinstein,Dianne Feinstein,F,"[{u'end': u'1995-01-03', u'start': u'1992-11-10', u'state': u'CA', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'end': u'2001-01-03', u'start': u'1995-01-04', u'state': u'CA', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'end': u'2007-01-03', u'url': u'http://feinstein.senate.gov', u'start': u'2001-01-03', u'state': u'CA', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'fax': u'202-228-3954', u'end': u'2013-01-03', u'office': u'331 Hart Senate Office Building', u'phone': u'202-224-3841', u'url': u'http://feinstein.senate.gov', u'contact_form': u'http://www.feinstein.senate.gov/public/index.cfm/e-mail-me', u'start': u'2007-01-04', u'state': u'CA', u'address': u'331 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.feinstein.senate.gov/public/?a=rss.feed', u'fax': u'202-228-3954', u'end': u'2019-01-03', u'office': u'331 Hart Senate Office Building', u'phone': u'202-224-3841', u'url': u'http://www.feinstein.senate.gov', u'state_rank': u'senior', u'contact_form': u'https://www.feinstein.senate.gov/public/index.cfm/e-mail-me', u'start': u'2013-01-03', u'state': u'CA', u'address': u'331 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",-22.06182,-39.3897,-7.2163675,-16.176455,-6.700642,-5.14094475,-19.0953303333,,-19.1840403333
7,both,H000338,senorrinhatch,Orrin G. Hatch,M,"[{u'end': u'1983-01-03', u'start': u'1977-01-04', u'state': u'UT', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'end': u'1989-01-03', u'start': u'1983-01-03', u'state': u'UT', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'end': u'1995-01-03', u'start': u'1989-01-03', u'state': u'UT', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'end': u'2001-01-03', u'start': u'1995-01-04', u'state': u'UT', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'end': u'2007-01-03', u'url': u'http://hatch.senate.gov/', u'start': u'2001-01-03', u'state': u'UT', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'fax': u'202-224-6331', u'end': u'2013-01-03', u'office': u'104 Hart Senate Office Building', u'phone': u'202-224-5251', u'url': u'http://hatch.senate.gov/', u'contact_form': u'http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin', u'start': u'2007-01-04', u'state': u'UT', u'address': u'104 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 1}, {u'rss_url': u'http://www.hatch.senate.gov/public/index.cfm/rss/feed', u'fax': u'202-224-6331', u'end': u'2019-01-03', u'office': u'104 Hart Senate Office Building', u'phone': u'202-224-5251', u'url': u'http://www.hatch.senate.gov', u'state_rank': u'senior', u'contact_form': u'http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin', u'start': u'2013-01-03', u'state': u'UT', u'address': u'104 Hart Senate Office Building Washington DC 20510', u'party': u'Republican', u'type': u'sen', u'class': 1}]",5.00944428571,11.0891685714,11.3367916667,11.1495028571,6.292435,5.26335166667,2.09324666667,19.990525,2.21462166667
8,left_only,K000367,,Amy Klobuchar,F,"[{u'fax': u'202-228-2186', u'end': u'2013-01-03', u'office': u'302 Hart Senate Office Building', u'phone': u'202-224-3244', u'url': u'http://klobuchar.senate.gov/', u'contact_form': u'http://www.klobuchar.senate.gov/emailamy.cfm', u'start': u'2007-01-04', u'state': u'MN', u'address': u'302 HART SENATE OFFICE BUILDING WASHINGTON DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}, {u'fax': u'202-228-2186', u'end': u'2019-01-03', u'office': u'302 Hart Senate Office Building', u'phone': u'202-224-3244', u'url': u'http://www.klobuchar.senate.gov', u'state_rank': u'senior', u'contact_form': u'http://www.klobuchar.senate.gov/public/email-amy', u'start': u'2013-01-03', u'state': u'MN', u'address': u'302 Hart Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",,,,,,,,,
9,left_only,A000367,,Justin Amash,M,"[{u'fax': u'202-225-5144', u'end': u'2013-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov/', u'start': u'2011-01-05', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep'}, {u'rss_url': u'http://amash.house.gov/rss.xml', u'fax': u'202-225-5144', u'end': u'2015-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov', u'start': u'2013-01-03', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://amash.house.gov/contact-me/email-me'}, {u'rss_url': u'http://amash.house.gov/rss.xml', u'fax': u'202-225-5144', u'end': u'2017-01-03', u'district': 3, u'office': u'114 Cannon House Office Building', u'phone': u'202-225-3831', u'url': u'http://amash.house.gov', u'start': u'2015-01-06', u'state': u'MI', u'address': u'114 Cannon HOB; Washington DC 20515-2203', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://amash.house.gov/contact-me/email-me'}]",,,,,,,,,
